Group,Song,Lyrics
A1 x J1,Latest Trends (Remix),"

I ain't got time for a ho (They know) 
And broski's like the devil 'cause he likes takin' people's souls 
This, this ain't a football drill when we say that we keep them on their toes 
My bro came out of the slammer, now I'm screamin', ""Fresh home, fresh home"" 
Now I'm screamin', ""Fresh home, fresh home"" 
Excuse me, miss, can you clap for the NHS? 
And darling, if you can't do that, KMT, the disrespect 
They talk on my name 'cause they brass and wet 
Them man are bums, tell 'em go get bread 
I ain't got time for the stupid gems 
I dick that ting, then I'm onto the ne-e-ext 
 
DTB, till a nigga get old, or these hoes made my heart weight colder 
You couldn't know this, I'm way too focused, yeah 
Can't trust no hoes, gotta take away phones, cause the opps might know them, plus 
How the niggas wanna roll on us? 
Never know, so I keep one up 
In the club, where they keep one tucked 
Armed and dangerous 
It's us, never them, I don't need new friends, no intentions on changin' up 
They shootin', sorry if I made you look so stupid 
 
Put you on the same direction 
Come through when you want to, cause you're my favorite bitch 
And I'm your favorite artist, come thru and paint it up quick 
Me and my guys been doing this fly shit before Bathing Ape shit 
Money conversations ain't done, uh 
 
You wouldn't know this, but my heart is cold like my home is 
Where were you when we could've been homeless? 
I can't have a bitch, 'cause I'd probably lose focus 
You know, get lost in the moment 
I could probably end up heartbroken 
I was chasin' a bag, you was chasin' these hoes 
Like I ain't got time to lotion 
I'm tryna get high-igh-igh, I'm tryna reach the sky-y-y 
Told her, ""Babes, come, we bill it,"" she said, ""Well, not tonight"" 
DTB for life, married to the money, my wife 
DTB for life, married to the money, my wife 
 
I said, ""Ooh, come, we catch these yutes"" 
I don't take L's or lose 
And me, I ain't got nothin' to prove 
I been out here with the goons (Bang, pow, boom) 
Bros always itchin' to shoot 
The best response is silence 
Why'd you think that I stay on mute? 
 
Got one ting, man, she came from the south 
And she wanna hold my spear like Britney 
Got one ting, man, she came from east 
And she wanna sing for me like Whitney 
She wanna have my pickney, don't be silly, don't be silly 
I'm out 'ere tryna get this bread in my Nike Tech-Fleece, suttin like Adzmilli 
 
You wouldn't know this, but my heart is cold like my home is 
Where were you when we could've been homeless? 
I can't have a bitch, 'cause I'd probably lose focus 
You know, get lost in the moment 
I could probably end up heartbroken 
I was chasin' a bag, you was chasin' these hoes 
Like I ain't got time to lotion 
 
My bros in the lab like Dexter 
And she wanna take this BBC and I ain't talkin' 'bout 1Xtra 
Defend my bros like Evra 
All my haters hatin', I just tell 'em, ""Back to sender"" 
I might bell her in, then put her right back like HÃ©ctor 
The world's so fucked nowadays, all they do is follow and follow (Facts) 
I don't care 'bout the latest trends 'cause I might even die tomorrow 
That's why I ain't sleepy like hollow 
If I ever win the lotto 
I'll share that with my family 
And make sure they don't borrow 
 
You wouldn't know this, but my heart is cold like my home is 
Where were you when we could've been homeless? 
I can't have a bitch, 'cause I'd probably lose focus 
You know, get lost in the moment 
I could probably end up heartbroken 
I was chasin' a bag, you was chasin' these hoes 
Like I ain't got time to lotion 
I'm tryna get high-igh-igh, I'm tryna reach the sky-y-y 
Told her, ""Babes, come, we bill it,"" she said, ""Well, not tonight"" 
DTB for life, married to the money, my wife 
DTB for life, married to the money, my wife
"
A1 x J1,Man On A Mission,"

What is love, what is love, what is love? 
When everybody walks out and leaves 
It's hard to trust, hard to trust, hard to trust 
So let's keep this between you and me 
What is love, what is love, what is love? 
When everybody walks out and leaves 
It's hard to trust, hard to trust, hard to trust 
So let's keep this between you and me 
 
Man on a mission 
Look, so many wanna get in my way 
But they can't trouble the isum 
I done it, he tried, but he didn't 
Still got the vision, still seeing what them other man don't 
And I'm still tight with the villains 
We're close to the top, but we came from the bottom 
Man, I love all of my fans 
You'd think that I don't, but I promise I got 'em 
I like getting on stage, I like reading my name in the column 
Viano Merc' on the M, damn, what a suitable foreign 
Viano Merc' on the M, look (Look) 
 
What is love, what is love, what is love? 
When everybody walks out and leaves 
It's hard to trust, hard to trust, hard to trust 
So let's keep this between you and me 
What is love, what is love, what is love? 
When everybody walks out and leaves 
It's hard to trust, hard to trust, hard to trust 
So let's keep this between you and me 
 
It's freezing, they say they love me 
Then they change like the seasons 
D-T-B, no way I'm believing 
If I say so, bro, can turn to a demon 
Heart so cold, it's hard to sleep with 
 
She wanna know 'cause I charted 
She wants love, L-O-L, I'm heartless 
I'm an artist, she knows I'm the hardest 
I don't want her, I'ma F her regardless (Uh-uh) 
Last year, we were down and broke 
Now I'm on the stage and I shut down shows 
Life's changed, but the streets still cold 
That's why me and bro got a Moncler coat (Mhm-mhm) 
They know, ain't no way am I trusting a hoe 
Use to be broke now I'm earning loads 
Been working hard, gotta stay on my toes 
(What is love, what isâ?) 
 
What is love, what is love, what is love? 
When everybody walks out and leaves 
It's hard to trust, hard to trust, hard to trust 
So let's keep this between you and me 
What is love, what is love, what is love? 
When everybody walks out and leaves 
It's hard to trust, hard to trust, hard to trust 
So let's keep this between you and me 
 
What is love, what is love, what is love? 
When everybody walks out and leaves 
It's hard to trust, hard to trust, hard to trust 
So let's keep this between you and me 
What is love, what is love, what is love? 
When everybody walks out and leaves 
It's hard to trust, hard to trust, hard to trust 
So let's keep this between you andâ
"
A1 x J1,Night Away (Dance),"

(Yoshi) 
(Good job, Sho!) 
 
Met a few girls that I liked 
Gorgeous hips, gorgeous eyes (Ah-ha) 
They broke my heart on a sly 
They didn't ride, it's fine 'cah I ain't got time for a wife (No way) 
Too many girls that I've liked 
Can't be wife 
Ain't got time 
She wanna be my queen for the night 
But I gotta chase dough, not chase her thighs 
 
She wanna 
Dance the night away, we still young, and you're just not the one 
I don't wanna dance 
She broke my heart 
Do I still give you a chance to 
Dance the night away, live your life 'cause my love ain't enough 
She wanna dance 
'Cah we chart 
Sorry babes, I'm with the Dargs 
Dance the night away, we still young, and you're just not the one 
I don't wanna dance 
She broke my heart 
Do I still give you a chance to 
Dance the night away, live your life 'cause my love ain't enough 
She wanna dance 
'Cah we chart 
Sorry babes, I'm with the Dargs 
 
There was Brenda (Mm), La Tisha (Mm), Lisa (Mm), Tanisha (Ah-ha) 
Nicky, she a diva 
Since she got a new boyfriend, I ain't seen her (Ah-ha) 
Snapchat Sophie B, and Athena 
Just playing games I don't really want either 
Heart so cold if I'm keepin' it real 
'Cause she need me, I don't need her (I don't) 
 
Who's who? 
I'ma do me, I beg you do you, you 
To tango, it takes to two, two 
Focus on my own moves, yeah 
 
She wanna 
Dance the night away, we still young, and you're just not the one 
I don't wanna dance 
She broke my heart 
Do I still give you a chance to 
Dance the night away, live your life 'cause my love ain't enough 
She wanna dance 
'Cah we chart 
Sorry babes, I'm with the Dargs 
 
(Mm-mm) 
It was Sabrina and Lucy (Grrt) 
Before the rap ting 
I was bookie (Mm-mm) 
You would've thought I was Harry Styles, the way I always had Louis (Boom) 
I got a brownin' looking all Asian (Bad) 
Say she wanna link Wizzy and J1 
Even though I got BRIT nomination, the WAP come bigger than A1 (Brrah) 
We can't go there, it's all long (Long) 
If you don't wanna hear, you'll feel it 
I got a young boy move, Jackson (Brah, brah) 
Because he just wan' beat it (Ayy) 
And she my babe's, she's no one else 
Back your mash and just corrode them (Mm-mm) 
True say I've come a long way from Feltham (Brah, brah) 
She love bad man so just (Brah, brah) 
 
She wanna 
Dance the night away, we still young, and you're just not the one 
I don't wanna dance 
She broke my heart 
Do I still give you a chance to 
Dance the night away, live your life 'cause my love ain't enough 
She wanna dance 
'Cah we chart 
Sorry babes, I'm with the Dargs (Dargs, dargs) 
 
Still young and lit 
And she don't know that I just turned sixteen 
'Cause I'm in charts, she thinks I'm rich 
More pending checks than Burberry 
Yo, she asked me to follow her socials 
That's the reason I antisocial 
Still dropping viral vocals 
Worldwide, but I'm still so local 
 
Who's who? 
I'ma do me, I beg you do you, you 
To tango, it takes to two, two 
Focus on my own moves, yeah 
 
She wanna 
Dance the night away, we still young, and you're just not the one 
I don't wanna dance 
She broke my heart 
Do I still give you a chance to 
Dance the night away, live your life 'cause my love ain't enough 
She wanna dance 
'Cah we chart 
Sorry babes, I'm with the Dargs 
Dance the night away, we still young, and you're just not the one 
I don't wanna dance 
She broke my heart 
Do I still give you a chance to 
Dance the night away, live your life 'cause my love ain't enough 
She wanna dance 
'Cah we chart 
Sorry babes, I'm with the Dargs
"
A1 x J1,Plugged In Freestyle,"

[Part I] 
 
Yo, yo, it's A1 & J1 
We're with Fumez The Engineer, Plugged In 
Time to shell it, bro 
 
Aye, take me in, take me in 
Ain't gonna stop 'til they take me in 
Aye, take me in, take me in 
Ain't gonan stop 'til they take me in 
Aye, take me in 
Aye, take me in 
Ain't gonna stop 'til they take me in 
Aye, take me in 
Aye, take me in 
Ain't gonna stop 'til they take me in 
 
Pull up, Blanco 
I'm an artist, Pablo 
I don't trust no one except my bros 
'Cause anyone can stab you in the backbone 
Tsss, that's the snakes in the grass 
I guess that's true, tough time never last 
Didn't like being broke so I had to graft 
They're mad 'cause they got left in the past 
Came a long way from an Insta freestyle, but that's all part of the journey 
Been doin' this shit from early 
Dio, that's my bro from nursery (Nursery, nursery) 
I don't take L's or lose 
Now I'm plugged in with Fumez 
I'm not the same as you 
They can't do what I do 
I put my pain in the track, that's the way that I cope 
Got the 20, gotta get it my bro 
I know they hate I'm gettin' the stones 
I know they hate, but there ain't nothin' to show 
So let me hold you 
Girl, don't tell nobody 
You got me goin' crazy, crazy 
Ain't answering your phone lately 
 
Aye, take me in, take me in 
Ain't gonna stop 'til they take me in 
Aye, take me in, take me in 
Ain't gonna stop 'til they take me in 
Aye, take me in 
Aye, take me in 
Ain't gonna stop 'til they take me in 
Aye, take me in 
Aye, take me in 
Ain't gonna stop 'til they take me in 
 
I can't lie, I'm glad that I'm gifted 
And if you hated me, please, just keep your distance 
I'm chasin' figures and them man chasin' women 
That's why me and you are different (Are different) 
Yeah, they want more music 
Saying ""A & J need to be consistent"" 
Spin, spiral, wave, tidal 
A & J, that's viral 
I don't trust these girls, that's final 
Can't believe that I made here this year 
Now everybody's acts like they know me 
Now we're up top like Wilfried Bony 
I don't got time for these phonies 
 
You don't realise what you got 'til you lose it 
I tried give you my love and you abused it, useless 
Looking for love, but I ain't cupid 
'Cah me cuffing a hoe, must be deluded 
She hate when I play but my feelings will never change 
My heart is programmed too, women are really the same 
 
Aye, take me in, take me in 
Ain't gonna stop 'til they take me in 
Aye, take me in, take me in 
Ain't gonna stop 'til they take me in 
Aye, take me in 
Aye, take me in 
Ain't gonna stop 'til they take me in 
Aye, take me in 
Aye, take me in 
Ain't gonna stop 'til they take me in 
 
Fumez The Engineer 
 
[Part 2] 
 
She thinks that the kid is trash 
'Cause I had a brown skin ting that I beat and dashed 
Is it my fault that I learnt from my dad, hmm? 
They say they are road, they're fakers, blatant by the kway 
I'm still screaming DTB, but right now it's HBK, K 
 
She matching my drip, she matching my kicks 
And she got gorgeous hips 
And she wanna take this dick 
And bro's in the pitch doing rainbow flicks 
And back then she didn't rate the kid 
Now she wanna jump on my pogo stick 
Give her this wood then vanish, vanish 
That's what you call a magic trick 
 
She thinks that the kid is trash 
'Cause I had a brown skin ting that I beat and dashed 
Is it my fault that I learnt from my dad, hm? 
They say they are road, they're fakers, blatant by the kway 
I'm still screaming DTB, but right now it's HBK, K 
 
I ain't got time for dem man 
And broski's something like Stormzy 
Oh my days, he's a Wicked Skengman (Haha) 
What d'you mean, what d'you mean? 
Why she screaming DTN? 
Like Hardy said, black men don't cheat 
And you can't enter my heart so I send her to the streets 
She wanna vibes with the kid like Kartel 
Bro's on the pitch wanna score these goals 
That's Man United like Martial 
I don't know if she loves the kid or hates the kid 
Let me know, 'cause I can't tell 
But I ain't gonna wait for a chick 'cause I'm chasin' the quid 
And my heart, that I can't sell (Sorry, babes) 
Oh well 
When they lie, I see 
They're cappin' and I can see it through their eyes, times have changed 
Back then I was broke, we was living in pain 
Like Tory, I had to switch the lanes 
Make a name, change the game 
Haters, haters, all the same 
Gotta buy mum a crib 'fore I buy a chain 
But most of you couldn't relate 
 
She thinks that the kid is trash 
'Cause I had a brown skin ting that I beat and dashed 
Is it my fault that I learnt from my dad, hm? 
They say they are road, they're fakers, blatant by the kway 
I'm still screaming DTB, but right now it's HBK, K 
 
Hahaha 
Fumez The Engineer
"
A1 x J1,Pretty Girls Love DBE,"

She listens to Drake when she's in her feelings 
She listens to Dave when she's in her feelings 
She plays Rod Wave when she needs healin' 
I know she hate when we ain't speakin' (Ayy) 
 
I'm feelin' you, are you feelin' me? 
Pretty girls love DBE 
Just call my phone if you're needin' me 
She look so thick in the PLT 
Mhm-mhm-mhm 
Turnt man to a CLB 
Mhm-mhm-mhm 
Pretty girls love DBE 
I'm feelin' you, are you feelin' me? 
Pretty girls love DBE 
Just call my phone if you're needin' me 
She look so thick in the PLT 
Mhm-mhm-mhm 
Turnt man to a CLB 
Mhm-mhm-mhm 
Pretty girls love DBE (Uh-uh) 
 
Said she want a cash earner 
Knows that I'm makin' profit, she don't wanna end like Steph and Burna 
She don't wanna end like Kim and Kanye 
She wanna share my last name (Hahaha) 
I love a bad one like Lori Harvey 
But I don't wanna fall in love 'cause I know it ends with heartbreak (Woo) 
She connects with the aux and puts on her favourite track, that's DBE (DBE) 
And ain't no way that I'm fuckin' these hoes and dyin' like Eazy-E (Nah) 
I used to be DTB, now I'm CLB (CLB) 
She looks so thick in the YAGI WRLD, I like that girl 
 
I'm feelin' you, are you feelin' me? 
Pretty girls love DBE 
Just call my phone if you're needin' me 
She look so thick in the PLT 
Mhm-mhm-mhm 
Turnt man to a CLB 
Mhm-mhm-mhm 
Pretty girls love DBE 
I'm feelin' you, are you feelin' me? 
Pretty girls love DBE 
Just call my phone if you're needin' me 
She look so thick in the PLT 
Mhm-mhm-mhm 
Turnt man to a CLB 
Mhm-mhm-mhm 
Pretty girls love DBE 
 
Your boyfriend is a bum, can't believe that's someone's son 
I DMd you on a natural ting 'cause these barbies know I'm the one 
Don't link me if your toes ain't done 
My mum is proud of the man I've become 
She likes my tracks 'cause she knows A1's on a run (Run) 
LPD, thick pussy down like DBE 
If she's the first, I'll bae 
She already got what she needs 
I love a girl that [?], 'cause you know the brain's TT 
I just bought a hundred roses for my girl, I'm CLB 
 
I'm feelin' you, are you feelin' me? 
Pretty girls love DBE 
Just call my phone if you're needin' me 
She look so thick in the PLT 
Mhm-mhm-mhm 
Turnt man to a CLB 
Mhm-mhm-mhm 
Pretty girls love DBE 
I'm feelin' you, are you feelin' me? 
Pretty girls love DBE 
Just call my phone if you're needin' me 
She look so thick in the PLT 
Mhm-mhm-mhm 
Turnt man to a CLB 
Mhm-mhm-mhm 
Pretty girls love DBE
"
A1 x J1,Scary,"

The mandem fighting demons, the block gets scary 
I'm really good in my hood, I'm not like them so don't compare me 
Night-time so the block gets scary 
You don't wanna lose your life by the youngest G with the largest knife 
Trust me it's a scary sight, one bubu and you'll lose your mind 
 
Man I slide with bro 'cause bro got me, we slide up town trynna stay low-key 
Now my main's in town she ain't ever had to dream tell her wait and see 
24's I'm grinding hard you can see in my eyes that I don't get sleep 
(Na-na-na-na) 
 
The mandem fighting demons, the block gets scary 
I'm really good in my hood, I'm not like them so don't compare me 
Night-time so the block gets scary 
You don't wanna lose your life by the youngest G with the largest knife 
Trust me it's a scary sight, one bubu and you'll lose your mind 
 
My bro got a pack, get rid of it 
Nah, he don't wanna walk on the block no more 
'Cause he got to stay way too diligent 
The young G's move like idiots 
Bro nearly lost his life now he steps with the what a scary sight 
He's deep in the field like Declan Rice 
You don't wanna test my guys 
 
If it weren't for the music I'd be grafting with bro 
I can't even say what we'd do 
Wagwan bro, I don't know that yute (Who's that?) 
 
The mandem fighting demons, the block gets scary 
I'm really good in my hood, I'm not like them so don't compare me 
Night-time so the block gets scary 
You don't wanna lose your life by the youngest G with the largest knife 
Trust me it's a scary sight, one bubu 
 
The mandem fighting demons, the block gets scary 
I'm really good in my hood, I'm not like them so don't compare me 
Night-time so the block gets scary 
You don't wanna lose your life by the youngest G with the largest knife 
Trust me it's a scary sight, one bubu and you'll lose your mind 
 
Know I came from Manny 
Whole block full of shanks and guns 
Then I made some money 
Elastic bands when I wrap these funds 
Nowadays all I see is racks and bums 
All the yg's out tryna pack some opps 
Mumzy tryna packs man's lunch 
If you trap that's blessed but stack that bread 
Then man make one bit of cash then stunt (Trust) 
Bro came home from jail this year tryna clean his rep (Yeah) 
Think the system turned him vegan he told me the beef ting dead (Dead out here) 
Come like my next bro plays at ot 'cause all he see is red (Trust) 
I just pray God keeps him blessed, yeah 
 
The mandem fighting demons, the block gets scary 
I'm really good in my hood, I'm not like them so don't compare me 
Night-time so the block gets scary 
You don't wanna lose your life by the youngest G with the largest knife 
Trust me it's a scary sight, one bubu 
 
The mandem fighting demons, the block gets scary 
I'm really good in my hood, I'm not like them so don't compare me 
Night-time so the block gets scary 
You don't wanna lose your life by the youngest g with the largest knife 
Trust me it's a scary sight, one bubu and you'll lose your mind
"
A,Turn It Up,"

Turn it up, I don't know where you're plugging in 
Listen up, yeah we're all set to begin 
Turn it up, 'cause we hope you like it lots 
Would you really love, any second glance? 
 
Make and like, cheeky monkey grins 
And for tonight, I'd love you let you in
"
A,Foghorn,"

Sick of you, how old do you think you are? 
Never move, you think everything's too far 
Telling you you're a fool, but you don't wanna know 
Thinking through and let me tell you, you're not even close...yeah I tell ya 
 
I can't stay you're in the way, so listen when I'm talking 
It's better than I write, remember every night 
Say to me you might, be the one 
 
What kept you, I'm not bothered anymore 
Can't place it, get me heading for the door 
Foot down, you know I like to look outside 
You found it, you found something that you like...yeah I tell ya 
 
I can't stay you're in the, so listen when I'm talking 
Tell me when I should, i don't drink in your pub 
What makes you think I work round your ohhhhohhhhhhhh 
 
Don't feel bad, don't look back, don't feel bad 
Don't feel bad and don't look back, I don't feel bad 
 
Shame on you, you hate everything thats new 
Look down your nose at everything I do 
You catch on years later, you're not even slow 
Can't stay have a good time, now I've gotta go 
 
I can't stay you're in the way, so listen when I'm talking 
It's better than I write, remember every night 
Say to me I might, when I'm talking 
Go look in a book, tell me when I should 
Makes you think I would when I'm talking 
It's better than I write, remember every night 
Say to me I might when I won't!
"
A,Cheeky Monkey,"

My name is Jason, I'll rock your face in, 'cause I've got relations in my band 
We like Van Halen and Iron Maiden, I'll do the talking understand? 
 
Cheeky monkey! Cheeky monkey! 
 
Yeah, you know I right, do you want a fight? 
Stay up all night, if you've got the time 
Any time I want to, Any place I'll need to 
I'll be there, yeah I'll be all right 
So get out of the kitchen, check out my pigeon 
Fed-ex the masses, on my way 
Jump on a rock bus, no one can stop us 
We're going bonkers today 
 
Cheeky monkey! Cheeky monkey! 
 
Yeah, you know I right, do you want a fight? 
Stay up all night, cos we've got the time 
And any time I want to, Any place I need to 
I'll need to be there, yeah I'll be all right? 
 
We're cheeky monkeys, just like the Bee Gees 
We put our words down so they rhyme 
We rock in the summer, sleep in the winter 
Park where we want to and pay the fine 
 
Cheeky monkey! Cheeky monkey! 
 
Yeah, you know I right, do you want a fight? 
Stay up all night, if you've got the time 
Any time I want to, Any place I'll need to 
I'll be there, yeah I'll be all right? 
 
Cheeky monkey! Cheeky monkey! 
Cheeky monkey! Cheeky monkey! 
Cheeky!
"
A,No.1,"

I've got to get up ma, and get in my place 
I've got to work out ma, and sort out my face 
I've got all 'zines telling me what to eat 
And I'm tired of being told what to wear on my feet 
And I don't have the time to get all worked up about the year on the street 
 
And it's not my fault, I can find my way, yeah it's not my fault 
There goes another day, I've been here too long 
Do I have to change into what it takes, yeah make it No.1 
 
I feel out of flavour, I don't look like a picture 
You think I'm a loser, but I can see through you 
You're running around like you're running the country 
I know that you think that you've got one on me 
Ear to the ground like a boy about town 
Can't get nothing to fit me! 
 
And it's not my fault, I can find my way, yeah it's not my fault 
There goes another day, I've been here too long 
Do I have to change in to what it takes, yeah make it No.1 
 
Got to call for an old friend who used to be real close 
Said he couldn't go on the American way 
Sold his house, sold his car 
Bought a ticket to the West coast 
Now he gives him 'em a stand-up routine in L.A. 
 
yeah but it's not my fault, I can find my way, yeah it's not my fault 
Got to look out for an old friend who used to be real close 
Said it couldn't go on the American way 
Sold his house, sold his car 
Bought a ticket to the West coast 
Now he gives 'em a stand-up routine in L.A. 
Do I have to change in to what it takes, yeah make it No.1
"
A,Bad Idea,"

Bad idea, bad idea, bad idea! 
Bad idea, bad idea, bad idea! 
 
99% is great, the other 1% I hate 
Little things keep bugging at my head 
 
Wake up calls Bad idea! 
Smack and that Bad idea! 
Fashion cafe Bad idea! 
Friendly fire, GMTV 
Darker mornings Bad idea! 
And pay per view Bad idea! 
Litter dropping Bad idea! 
I made a list, I've got the lot, and all the stuff is all I'm taught 
It's not fair, but I don't care not me 
 
Rocky 5 Bad idea! 
And indie shite Bad idea! 
KKK Bad idea! 
Number crunching, bungy jumping 
Paying taxes Bad idea! 
And Pavement cracks Bad idea! 
Car alarms Bad idea! 
Dinosaurs and protest songs are a bad idea! 
 
Give me and B-A-D-I-D-E-AAAAAA 
Bad idea!
"
A,Sing-A-Long,"

Everybody in the building has to sing the song 
All the boys and all the girlfriends sing the sing-a-long 
 
I think I'm trouble, there's always a couple 
Around me wherever I go 
They're out there to bug me 
I don't think it's funny 
Everybody's laughing at me yeah 
 
I wanna go out, but there's no one about 
All my friends want a quiet one at home 
They're that same age as me 
And their husbands to be yeah 
Everybody in the building 
 
Everybody in the building has to sing the song 
All the boys and all the girlfriends sing the sing-a-long 
 
I make a move here, and I make a move there 
I've got millions of things on the go 
I'll write me the best lines, they're too corny sometimes 
Everybody's laughing at me 
 
Everybody in the building has to sing the song 
All the boys and all the girlfriends sing the sing-a-long 
Everybody in the building has to sing the song 
All the boys and all the girlfriends sing the sing-a-long 
 
And now when I find her, there's rings on her finger 
I'll try every trick in the book 
And I've got some more pride, I've got time on my side 
Everybody's gone without me yeah 
 
Everybody in the building has to sing the song 
All the boys and all the girlfriends sing the sing-a-long 
Everybody in the building has to sing the song 
All the boys and all the girlfriends sing the sing-a-long
"
A,Winter Of '96,"

First stepped out of the aeroplane 
I'd felt like I'd been here before 
Took a ?? me down 
Put a smile on my face 
Felt like I could do more 
 
How ace are buildings! 
How big are the blocks 
Reminds me of London, stuck in a graveyard 
 
Six foot deep, bleaker street, no one lives out 
People smile, never got the time 
I look down I can not see the ground 
A man who reads the news says there's no crime 
There's no one around 
There wasn't a sound 
There's no one to arrest today 
?? 
 
Fell in love with it, don't want to leave it 
Don't ever what to go back 
Skateboards are cheaper, don't want it bigger 
Whole place stops for the winter of '96 
 
-10, 1pm east village time 
I laugh at your ?? you bought 
Snow, snow, so we walk 70 blocks 
On days like this nothing seems to far 
Get in shot, I don't ask a lot 
The weather was frozen, there wasn't a ?? 
 
Fell in love with it, don't want to leave it 
Don't ever what to go back 
Skateboards are cheaper, don't want it bigger 
Whole place stops for the winter of '96 
 
Maybe I could be here a long time 
Much longer than I planned to stay 
No telling when they'll get the airport open 
No telling when i'll get way 
Trying to tell us nothing's wrong 
Trying to get the fire back on 
Never lost a day of fun 
Silence in the heightened mass of ?? 
 
How ace are buildings! 
How big are the blocks 
Reminds me of London, stuck in a gridlock
"
A,Out Of Tune,"

You're always fighting everyone 
You were wroung when you were young 
You love to think you're on the run 
 
I had to laugh at all your jokes 
Had to tremble 'cos you smoked 
But you never ever get my vote, yeah! 
 
You're the ones to run from, or so they say 
I remember you back in the day 
Did my best to keep out of the way 
You kicked it up in school 
Singing out of tune 
 
While you're fighting everyone 
I've been hanging in the sun 
There's a million things I've done 
 
You're the one who took the lead 
Me least likely to succeed 
Different now don't you agree 
 
You're the ones to run from, or so they say 
I remember you back in the day 
Did my best to keep out of the way 
You kicked it up in school 
Singing out of tune 
Thought you ruled the world 
Singing out of tune 
 
Everybody, keep out of his way 
Everybody, keep out of his way 
Everybody, keep out of his way 
Everybody, keep out of his way 
 
You're the ones to run from, or so they say 
I remember you back in the day 
Did my best to keep out of the way 
You kicked it up in school 
Singing out of tune 
Everybody knew 
Singing out of tune 
 
Singing out of tune (a lot!)
"
A,Fistral,"

I like the summer like you like your wife 
Live in the ""master"" for the rest of my life 
Every year since I was young 
And always here and always fun 
Distant places, staying faces 
All I want, I understand is it's the summer 
 
Over and over it's summer again 
Fills up the sad hole in my head again 
Several hours and passing faster 
To lift their head down to the sand 
Distant places, staying faces 
All I want, I understand is it's the summer 
 
And it's with it's flowers, and big huge skies 
It gets high for hours, and then it dies 
 
Ocean keeps me up all night 
Sunshine makes my hair turn white 
You know I hate the winter time 
All because there's nothing quite like the summer 
 
And it's with it's flowers, and breeses off shore 
It gets high for hours, and then back for more 
 
And it's with it's showers, and big big skies 
It gets high for hours, and then it dies
"
A,House Under The Ground,"

And I'd have a house under the ground 
All my friends would all come round 
Laugh about the ones that got away 
I wouldn't know the time of year 
It's easier to tan down here 
 
I find it funny, I laugh at people 
And don't know why 
I sometimes giggle, if there's an earthquake 
Where good people die 
 
And I'd have a house under the ground 
All my friends would all come round 
Laugh about the ones that got away 
I wouldn't know the time of year 
It's easier to tan down here 
 
I'll make the big man, I'll do what I can 
I'll suffer for my sins 
Speak with a deep voice, listen to metal 
So that the good guys never win 
 
And I'd have a house under the ground 
All my friends would all come round 
Laugh about the ones that got away 
I wouldn't know the time of year 
It's easier to tan down here 
 
Yeah you should see them all 
When you sit in on Christmas day 
But at six o' clock, on the sixth of June is OK 
Got my life under the sun, pay for the things I've done 
Pay for my mistakes 
 
And I'd have a house under the ground 
All my friends would all come round 
Laugh about the ones that got away 
I wouldn't know the time of year 
It's easier to tan down here 
 
House under the ground 
House under the ground 
House under the ground 
 
And I'd have a house under the ground 
All my friends would all come round 
Laugh about the ones that got away 
I wouldn't know the time of year 
It's easier to tan down here
"
A,Five In The Morning,"

Yeah yeah yeah I've seen it all 
Yeah yeah yeah I've heard it all 
J.P wants to rock, not at five o'clock hes not 
There's a medal in the kitchen for catching early worms 
Yeah yeah yeah you're gonna bet 
Yeah yeah you're gonna learn 
 
Don't bother waking me at 5 in the morning 
'Cause I don't want to know 
Don't bother waking me at 5 in the morning 
'Cause I don't want to know 
 
Stevie knows that it ain't dead 
Yeah Farmer uncle still in bed 
M.A.C. was born to rock, there's not a moment that he's not 
""A"" communication, illin' in my sleep 
Yeah yeah yeah yeah yeah yeah yeah I lost count of my sheep 
 
Don't bother waking me at 5 in the morning 
'Cause I don't want to know 
Don't bother waking me at 5 in the morning 
'Cause I don't want to know 
 
Never, never looking back, never falling off the track 
Never clocking late for work, 'cause rocking pays the bills 
So I don't need no education 
I don't need any sleep 
yeah yeah yeah yeah I never need to set my ""series 3"" 
 
Don't bother waking me at 5 in the morning 
'Cause I don't want to know 
Don't bother waking me at 5 in the morning 
'Cause I don't want to know 
Don't bother waking me at 5 in the morning 
'Cause I don't want to know 
Don't bother waking me at 5 in the morning 
'Cause I don't want to know
"
A,Ender,"

Thanks a bunch for staying with us tonight 
Over lunch, we'll talk about the lights 
 
I need to go now, I need to drive round 
I need to lie down 
 
Thanks i'm stunned it's time to go 
I promise you're my best friend 
Then in the end, that wont make it so 
I need to go now, I need to drive round 
I need to lie down 
 
Probably notice you're probably worth it, just about 
Probably notice you're probably worth it, just about 
 
Thanks thanks a lot, we love you all 
Thanks, please thank your Mums 
'cause you are the best that we've ever known 
I need to go now, I need to drive round 
I need to lie down 
 
Probably notice you're probably worth it, just about 
Probably notice you're probably worth it, just about 
 
Every time I hear you I feel lonesome on a cloud 
Every time I see you I feel happy and around 
I need to lie down 
I need to go now, I need to lie down 
My heads in a spin, the state that I'm in 
I need to go now 
 
Probably notice you're probably worth it, just about 
Probably notice you're probably worth it, just about 
Probably notice you're probably worth it, just about 
Probably notice you're probably worth it, just about
"
